codigo_comuna,nombre_comuna,pop_total,pop_chilean,pop_foreign,pct_foreign,median_age_chilean,median_age_foreign,mean_schooling_chilean,mean_schooling_foreign,emp_rate_chilean,emp_rate_foreign,dependency_ratio,eno_total,eno_chilean,eno_foreign,eno_desconocido,eno_top3_diseases,eno_rate_per_10k,grd_total,grd_chilean,grd_foreign,grd_pct_foreign,grd_mean_los,grd_mean_los_chilean,grd_mean_los_foreign,grd_mean_severity,grd_mortality_rate,grd_top3_chapters,grd_rate_per_10k,log_pop_total,combined_emp_rate,pct_unemployed,schooling_gap
13122,Peñalolén,236478,216664,18304,7.74025490743325,38.0,34.0,12.222863898249807,12.847695541210028,64.7195868375159,77.56749602964531,43.49306132851135,1487,701,124,662,VIH | Parotiditis | Coqueluche,62.88,44917,42047,2870,6.39,5.34,5.43,4.14,1.56,2.91,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1899.42,12.37361045933138,65.30078912156807,34.69921087843193,-0.6248316429602205
13605,Peñaflor,94402,90616,3235,3.4268341772420077,36.0,34.0,11.981958677958282,12.994342906875543,59.73916291760732,70.5074399084319,46.112770666625394,441,251,32,158,VIH | Parotiditis | Coqueluche,46.72,10357,9981,376,3.63,6.14,6.17,5.43,1.39,1.89,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",1097.12,11.45531753834984,59.759491907435034,40.240508092564966,-1.012384228917261
13114,LAS CONDES,292739,261670,31069,10.61320835283307,38.0,40.0,15.967253020040872,16.103877582485353,69.12262491710636,80.11684364267951,47.11981103628505,2123,970,231,922,VIH | Parotiditis | Sifilis,72.5219,10656,9651,1005,9.43,5.92,6.13,3.79,1.43,2.93,Cap.02  NEOPLASIAS (C00-D49) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95),359.84,12.587036706031556,70.28946425721763,29.71053574278237,-0.1366245624444815
13503,CURACAVÍ,34977,33517,1460,4.174171598479,38.0,35.0,11.494169857292029,13.097132284921368,60.37599093997736,70.32312925170068,50.32233109850438,165,107,14,44,VIH | Sifilis | Parotiditis,47.1739,5216,5064,152,2.91,6.49,6.54,4.82,1.4,2.93,Cap.15  EMBARAZO | PARTO Y PUERPERIO (O00-O9A) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.19  LESIONES TRAUMÁTICAS | ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88),1483.29,10.462445981601402,60.79120156224674,39.20879843775326,-1.6029624276293397
13109,La Reina,103157,82209,19762,19.38,37.0,32.0,12.91,13.56,67.5,78.9,44.8,714,333,149,232,VIH | Parotiditis | Coqueluche,69.21,5004,4692,312,6.24,5.38,5.48,3.85,1.382,2.618,"Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95) | Cap.07  ENFERMEDADES DEL OJO Y SUS ANEXOS (H00-H59) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88)",485.09,11.544007378533257,68.90787149684462,31.09212850315538,-0.6500000000000004
13125,Quilicura,236478,214770,20141,8.57,38.0,35.0,12.19,13.06,64.6,77.8,43.5,1487,701,124,662,VIH | Parotiditis | Coqueluche,62.88,13062,11120,1942,14.87,5.9,6.17,4.4,1.393,2.167,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",552.36,12.37361045933138,65.29618738318152,34.70381261681848,-0.870000000000001
13303,Tiltil,205624,177098,27310,13.36,34.0,34.0,12.17,12.35,62.1,74.0,38.5,1592,769,270,553,VIH | Parotiditis | Coqueluche,77.42,1435,1360,75,5.23,6.31,6.4,4.75,1.348,3.345,"Cap.15  EMBARAZO, PARTO Y PUERPERIO (O00-O9A) | Cap.19  LESIONES TRAUMÁTICAS, ENVENENAMIENTOS Y OTRAS CONSECUENCIAS DE CAUSAS EXTERNAS (S00-T88) | Cap.11  ENFERMEDADES DEL APARATO DIGESTIVO (K00-K95)",69.79,12.233804537268064,63.31326012527721,36.68673987472279,-0.17999999999999972
13123,Providencia,143974,126841,17133,11.900065289566172,38.0,39.0,16.475442306700366,16.3480222801946,76.79002413515687,81.55087719298245,38.77547086152719,1455,1001,239,215,VIH | Sifilis | Parotiditis,92.24,10505,9451,1054,10.03,5.85,5.92,5.19,1.43,2.93,Catarata | no especificada | Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada,665.93,11.877388006700466,77.35656875737843,22.643431242621574,0.12742002650576723
13130,San Miguel,150829,110161,40668,26.962984571932452,36.0,33.0,14.316605873963471,14.617748478701824,73.22180107175532,80.63946880421128,37.18711343956924,1249,587,330,332,VIH | Parotiditis | Sifilis,115.7,13853,11077,2776,20.04,6.37,6.74,4.91,1.59,3.35,Catarata | no especificada | Apendicitis aguda | otra y no especificada | Fractura del cuello de fémur | cerrada,1283.23,11.923902023759547,75.22182567805464,24.778174321945357,-0.3011426047383523
13404,Paine,78828,72865,5963,7.564570964631858,36.0,31.0,11.101812763844052,11.780655828051804,60.77520654363106,67.07342730906795,47.58757559304263,390,185,74,131,VIH | Parotiditis | Coqueluche,53.6,11428,10437,991,8.67,5.57,5.66,4.65,1.46,3.01,Cálculo de la vesícula biliar sin colecistitis | Apendicitis aguda | otra y no especificada | Catarata | no especificada,1570.66,11.275023542680474,61.251639922941706,38.748360077058294,-0.6788430642077525
